IMAGE	IMAGE
ドラクエ	ドラゴンボールとね、ドラクエ、サザエさんが今まであったかな、ジョジョネタ多い！
サザエさん	ドラゴンボールとね、ドラクエ、サザエさんが今まであったかな、ジョジョネタ多い！
ジョジョネタ	ドラゴンボールとね、ドラクエ、サザエさんが今まであったかな、ジョジョネタ多い！
占い師	占い師にフィッシュをくわえたクレイジーキャットを裸足で追いかけるビックフットがお前の守護霊って言われたw
フィッシュ	占い師にフィッシュをくわえたクレイジーキャットを裸足で追いかけるビックフットがお前の守護霊って言われたw
クレイジーキャット	占い師にフィッシュをくわえたクレイジーキャットを裸足で追いかけるビックフットがお前の守護霊って言われたw
裸足	占い師にフィッシュをくわえたクレイジーキャットを裸足で追いかけるビックフットがお前の守護霊って言われたw
ビックフット	占い師にフィッシュをくわえたクレイジーキャットを裸足で追いかけるビックフットがお前の守護霊って言われたw
守護	占い師にフィッシュをくわえたクレイジーキャットを裸足で追いかけるビックフットがお前の守護霊って言われたw
霊	占い師にフィッシュをくわえたクレイジーキャットを裸足で追いかけるビックフットがお前の守護霊って言われたw
メダル	小さなメダル集めてるよー
Twitter	Twitterに乗せる写真加工してるからおきてるよー
加工	Twitterに乗せる写真加工してるからおきてるよー|加工しすぎて差がすごいよぉ|加工の成れの果て|いえ！加工し過ぎて原形とどめてませんw無理ですw
クラスメイト	クラスメイトの悪ふざけﾉ|集合写真はクラスメイトだけよ
悪ふざけ	クラスメイトの悪ふざけﾉ
みんな	みんなテンション高かったのー|みんなえろーい！って|お昼ごはんはみんなで食べてきました♡|みんなで行くしね|おそめさんいい顔してるねー♡みんな楽しそうだー|みんな、気が早いよ、、|次男はみんなでカルタしたいって|実家でみんな集まることになりました。もう先に食べてもらってます|いま新小岩駅前の花月の隣でみんなとラーメン食べてます|みんな休みかー|住所埋まってない人達はみんな名前だけ印刷する？|友達みんなと|みんな描いてくれる…
クラス	クラスの連絡網LINEで全員に回ってきた画像だから私とってなーい|クラス写真
連絡	クラスの連絡網LINEで全員に回ってきた画像だから私とってなーい|就活サイトから、はやく住所決めてねって連絡ありました！|家についたら連絡しますっ|ひとみさんと連絡してました|津山のおばあちゃん、亡くなったそうです。ひとみさんから連絡がありました。|また時間が分かったら連絡ください|月曜に私に連絡か朝からたんとうさんがくるって|出し忘れの連絡が来ましたー。|昨日連絡きたんだけど|送れたら、連絡くださいっ|連絡できました！|諒さんの会社からメール確認して欲しい！って連絡ありました|着く時間わかったらまた連絡ください。
LINE	クラスの連絡網LINEで全員に回ってきた画像だから私とってなーい|お兄ちゃんが彼女とのLINE自慢してきてなんかさみしくなった|りょうさんのお母さんがプレゼント買って待っててくれるとLINEもらいました|なんとなく寝てますおばあちゃんのことでひとみさんからもLINEが来たので伊勢にくるどころじゃないのでは？と思ってました|LINEで送りました。
全員	クラスの連絡網LINEで全員に回ってきた画像だから私とってなーい
集合	集合写真はクラスメイトだけよ
ろ	みんなえろーい！って|どろって
美	美脚さん素敵|美脚！
脚	美脚さん素敵|脚がむくんでたから、圧がつよい？キツイニーハイね。そうそう！それよー|脚細くなったかも！|美脚！
素敵	美脚さん素敵|わー！素敵！！|素敵|大人っぽくて素敵です♥︎♥︎|素敵なお祝い会ですね|和装だった！素敵です💓|素敵！ありがとう♡
普通	あ、普通じゃない方がよかった？|照れくさいです。これは普通なのかい？|結構普通な感じ
友だち	友だち大胆
大胆	友だち大胆
イタズラ	かのさんにイタズラされました！笑
阿部	阿部寛だけ見た
寛	阿部寛だけ見た
左	左のティッシュは私の。黄ティッシュとオレンジはそれぞれ友人の
ティッシュ	左のティッシュは私の。黄ティッシュとオレンジはそれぞれ友人の
黄	左のティッシュは私の。黄ティッシュとオレンジはそれぞれ友人の
オレンジ	左のティッシュは私の。黄ティッシュとオレンジはそれぞれ友人の
友人	左のティッシュは私の。黄ティッシュとオレンジはそれぞれ友人の
授業	授業中笑いをこらえるの大変でした
笑い	授業中笑いをこらえるの大変でした
大変	授業中笑いをこらえるの大変でした|大変だー|うーん、、、大変なお仕事なんだね。根詰めるのも大切だけど息抜きもしてね
先生	先生には見えないように箱を立ててました！自分からしか見えないw|先生からのあたり強くて挫けそうだったけどがんばるっ|田邊さんがハリポタのスネイプ先生の杖もって来てて、お借りした！|放課後に先生から「卒業したら君だけに欲しいもの買ってあげる、何が良い？」って言われて困った|わたし1番嫌いな先生なの|先生じゃなかったらはっ倒してる|最近低血糖ぎみだし、今日先生来てるから午後診てもらいます|28日に受診日決まりました！前と同じ先生です|いま病院で待ってる。先生変わったんだけど、サップの日程調整してもらってます
箱	先生には見えないように箱を立ててました！自分からしか見えないw|今日は箱に詰めたのと、住民票抜いて、保険証返しました！
自分	先生には見えないように箱を立ててました！自分からしか見えないw|自分より高い目線位置だからなんだか新鮮です|自分のご褒美にちょっと高いカフェでプリンたべてます|自分で隠してあった！|やや、自分ばっかり。諒さん２日目おつかれさまっ！！
皿洗い	お皿洗いしてからなら
くら	20分後くら
新車	新車いいね！ちょっと緊張するけど
緊張	新車いいね！ちょっと緊張するけど|緊張して寝れないー|緊張するけど、楽しんでね！|いまさら緊張してきました…|いままでで一番緊張してる|なんだか緊張して早く起きちゃった
白	白の…|白タイツ買いました|手術室の実習はスカートに白タイツが鉄則らしいです|白飛びは直らないわ|コンビニに白靴下って置いてないんだね|白ズボン巻いて履いた！おっけー！
BMW	BMW?
\?	BMW?|http://www.jalan.net/us/usp3000/usw3001.do?yadNo=307774|http://jp.indeed.com/m/viewjob?jk=a663b4b613373490&from=serp|何時頃?|http://musictable.jp/detail/finalfantasy_wedding.html?color=color5|http://www.jalan.net/us/usp1400/usw1402.do?ssc=95830&distCd=05&searchModeTab=1|https://michiaki.publications.jp/products/list.php?transactionid=1b3fcdb959c093ca44bea5469941189cd44b974c&mode=&category_id=15&maker_id=0&name=&orderby=&disp_number=15&pageno=5&rnd=bia&book_id=
何	私は何しようかなー|お腹空いたよ〜何食べようかな？|新郎さんは何歌ったの？|ありがとう！何もしないっ|諒さん何かあったの？|煙草吸ってるって聞いたけど、普段吸わない諒さんだから何かあったのかなぁ、って|放課後に先生から「卒業したら君だけに欲しいもの買ってあげる、何が良い？」って言われて困った|ルノアールは何があるのかな？ハンバーグ？|晩ごはん何にしようかな|何か食べたいものある、|何食べるー？
スパゲティ	よーし、スパゲティ食べよう！
最低	1話で最低2人
ツイッター	ツイッターでテンションあがって私服でコスプレもどきしてました|ツイッターでドジっ子描いてーって言われてたからwあわあわしてるのww|ツイッターみたな！
私服	ツイッターでテンションあがって私服でコスプレもどきしてました
コス	ツイッターでテンションあがって私服でコスプレもどきしてました|ううん、レノさんのコスプレ話で少し目がさえた
プレ	ツイッターでテンションあがって私服でコスプレもどきしてました|ううん、レノさんのコスプレ話で少し目がさえた
もどき	ツイッターでテンションあがって私服でコスプレもどきしてました
差	加工しすぎて差がすごいよぉ
ぉ	加工しすぎて差がすごいよぉ|難しいよぉ|ほぉ|ほぉー|ほぉ？
目	目は冴えてるよ！|目の前で大好きなバイキンマンケーキが切られて行く|昨日のこと考えると目がさえるので、もんもんしてました。|ううん、レノさんのコスプレ話で少し目がさえた
ほんと	ほんとですか西崎さん！|ほ、ほんとだ。毎年この時期に会うと台風も来るね|ほんとだね
光栄	光栄です
こちら	もちろん、こちらこそ！おーひさん…メモメモ|こちらもアンテ2週目入りました。晩ごはんすませてきます
メモ	もちろん、こちらこそ！おーひさん…メモメモ
成れの果て	加工の成れの果て
アプリ	最近のアプリ怖いw|アプリ進んでますか？|アプリだと、14:10です
原形	いえ！加工し過ぎて原形とどめてませんw無理ですw
無理	いえ！加工し過ぎて原形とどめてませんw無理ですw|もっとバカップルにならないと無理だねーw|無理しないでね|平日の真ん中です！無理せずにいきましょー！|うん、無理せずにね！あったかくしてね|今日の20時無理そう？|おつかれさまです無理せずにね|無理しやんとねー|あら、無理しないでね
男の子	この子、男の子だし
部屋	お部屋に移動していんします|部屋にもどります|お部屋にもどるー|ん、お茶飲んで部屋に戻ります|うん、お部屋にいくねー。お絵かきしてました|うん、お部屋にあがるね|畳の部屋の明かりの色はやや赤めが良いな|畳の部屋は寝る、着替えるくらいの用途だからイメージしやすいね。残りのふた部屋はインテリアとケンカしないようにって考えなきゃね|部屋だけとった！|はーい！寒いしねお部屋あっためといて〜|ごめんね、探し物しててお部屋ぐちゃぐちゃ|部屋の準備できるまで待ってるとこ。うん、後半頑張る|値段は最安価、海側の部屋の値段みたい〜|私たちの部屋はエアコンのみだから
移動	お部屋に移動していんします|三脚が大荷物だから停めて移動は一緒に行くみたい|車に乗せてもらって移動中です|サイゼリヤに移動してご飯済ませました。
そめ	おそめさん、既婚者|おそめさんいい顔してるねー♡みんな楽しそうだー
既婚	おそめさん、既婚者
助監督	助監督！ありがと！
呂律	呂律あんまり回ってなかったよ
水	お水飲んでゆっくりしてね|安かったよー！牛乳とお水も買ったよ|水拭きで少しマシになった。|めっちゃ外からのぞき穴覗いたー。ほんとに静か！水槽の水の音、店内のピアノBGM|水もらったよー
体調	体調どうかな？|体調良くなさそうだったから、ゆっくり休んでね|体調も朝より良くなってます|諒さん、今夜話せる？体調どうかな？|体調もあったしね、|たぶんお仕事忙しかったし体調不良でイライラしてたんだろうなぁ、って|体調大丈夫？|体調？大丈夫？
ミク	今日はミクの日らしいので|初音ミク一曲だけ歌ったら
ぱちお	ぱちお氏|ぱちお君から、諒さんの写真が欲しいって
彼	彼はものすごい環境に身を置いてるよ
環境	彼はものすごい環境に身を置いてるよ|おはよう。今度の伊勢行きのことなんだけど、やはりせっかく行くのだし食事は三時間もかからないと思うので、さきちゃんに万一のことがあった時のためにも一度おたくをみて、どんなまわりの環境なのかも知っときたいと思うの。ご迷惑ならタクシーで回り道して外からみるだけでいいし。もしよかったら御両親に聞いてみてください。お父さんもそういっています。
身	彼はものすごい環境に身を置いてるよ|頭身直してみたよ！|5〜6頭身が描きやすい
コミケ	コミケうんたらかんたらって前呟いてたからそのうち売り出すんじゃないかな
これ	これでご満足いただけますか？|面白い写真これくらいしかない(；´Д`Aって言いながら送ってくれたよw|これですね|照れくさいです。これは普通なのかい？|これね、今日買った服！|これで行くねー|うん、これ食べにだけ来たよ|これで310円！|型番これかな？|おつこれさま！|これの中から選ぼうと思ってます|これで、大丈夫だね🙆|よし！これでいきます！|これかぁ、ううん|これより、
満足	これでご満足いただけますか？|少しみて満足したので帰りますまる
能力	そういう能力かな(笑
\(	そういう能力かな(笑|はい(お布団から|隣の席の女性、職場同じかも(笑|ダービー見るってお客さんもテレビ見てる(笑|おはよ(笑|ヤラシイ(笑|ええやつ買うたわ(半ギレ|そのままカラオケ行ってくる(愚痴会|どっか食べ行きません？(つかれた|やめる口実を考えてもらったりしてた(笑|(不安|おはよー！(二度寝からの目覚め
本気	本気だしました
想像	あらー？半分まで想像であと半分は写真みたんだけどな笑
スマホ	スマホで描いた皐月ちゃん。|うんwスマホ変えたら前のスタンプ消えちゃってて
皐月	スマホで描いた皐月ちゃん。|皐月とののんすきー
学校	学校ついた！|おはよう！学校着いたけど、点検で30分まで入れない|私も眠いよ〜、あと30分学校から帰っちゃだめって|はい。色塗ってない平日は学校でテスト三昧です|学校でレポート仕上げてます|私も学校終わってからだから10時前になりそうだよー|学校いってきますっ|明日雪降ったら学校休みます|13日までは毎日学校よ…|最近はお昼前に学校へ行って田邊さんたちと一緒にいるんだけど、|学校お休みしました
国語	国語は80点でした！
東方	東方のだれか。
だれ	東方のだれか。
霊夢	たぶん、霊夢ちゃん
あや	いつも通り、あやのんからの悩み事聞いてました|いい女にはいい男がつくんやなって田邊さんがあやのんの話の後に言ってくれたヽノ
悩み	いつも通り、あやのんからの悩み事聞いてました|うーん、悩み中|ズボン悩み中。。。買わずに帰ります
無視	うむ、無視できないような内容だったからサラリと答えておきました。
内容	うむ、無視できないような内容だったからサラリと答えておきました。
ゅ	しゅー！|また諒さんにちゅーしてもらいたい|ちゅ|ちゅーしたい♥︎
一緒	また一緒に呑もうね♡|彼氏さんも一緒にBBQどう？って。|うん。生姜は熱さないと効果無いから紅茶や豚肉の生姜焼きとか、お鍋にネギと一緒に入れると良いみたい|三脚が大荷物だから停めて移動は一緒に行くみたい|一緒にアニメ見てた|できるって伝えたら一緒にしたそうでした|きっぷは一緒に買ってあるの|だよねまた一緒にでるよー！|一緒だ！がんばろー|最近はお昼前に学校へ行って田邊さんたちと一緒にいるんだけど、|夜勤一緒だった先輩と、仕事あがりにモーニング奢ってもらったよー。すごく褒めてくれた|帰ったら一緒に食べよう|一緒にいこー|ショッピングモールと一緒になってるのね|いきます！一緒にサミットいこー|一緒に帰れたら良いな|思ってたより元気なので一緒に行きたいと急ですが可能でしょうか|ポスターを半日かけて一緒に描いたよ〜〜|お昼ご飯はユウさんと一緒に食べよう
オトナ	お、オトナの余裕だ
余裕	お、オトナの余裕だ|ダンス見てみたかったでも、おかげで余裕で準備できました！
ロマンス	ロマンスの神様で聴いたことある！
神様	ロマンスの神様で聴いたことある！
むっ	うむっ
ぁいと	ふぁいと！|お昼からふぁいとー！|ラストスパートやね！ふぁいと！|午後からもふぁいと|バンド練ふぁいとー！|新年会演奏ふぁいとー|ふぁいとー！|打ち合わせふぁいと！
水分	水分補給して勉強ー|今日も暑いから水分補給しっかりね！
補給	水分補給して勉強ー|今日も暑いから水分補給しっかりね！
田邊	田邊さんから4月末ゴールデンウィークにBBQのお誘いを受けました！|卒業式の時に田邊さんにとってもらった|田邊さんすごくテンション上がってるよ|いい女にはいい男がつくんやなって田邊さんがあやのんの話の後に言ってくれたヽノ|諒さんっ京都のお宿の名前と場所を田邊さんに聞かれたので教えてくださいっ|田邊さん早起き|田邊は、かなさんw|田邊さんがハリポタのスネイプ先生の杖もって来てて、お借りした！|最近はお昼前に学校へ行って田邊さんたちと一緒にいるんだけど、|しおん氏のお話をしたら田邊ちゃん「かわいいー！」とのことでせ。
ゴールデンウィーク	田邊さんから4月末ゴールデンウィークにBBQのお誘いを受けました！
BBQ	田邊さんから4月末ゴールデンウィークにBBQのお誘いを受けました！|滋賀県で50人規模。BBQのみ、又はコテージ1泊|彼氏さんも一緒にBBQどう？って。|家族でBBQなうです
お誘い	田邊さんから4月末ゴールデンウィークにBBQのお誘いを受けました！
滋賀	滋賀県で50人規模。BBQのみ、又はコテージ1泊
規模	滋賀県で50人規模。BBQのみ、又はコテージ1泊
コテージ	滋賀県で50人規模。BBQのみ、又はコテージ1泊
彼氏	彼氏さんも一緒にBBQどう？って。
考え	うーん、考え中
どれ	予定だからどれくらい集まるかわかんない。|どれくらいかかるのかな？|イラスト用にどれを送ろうか？|どれか、炭酸系だと嬉しいです
反応	反応はなんとなく予想してました|うん。アルコールと反応してるのか？シートで拭くと臭いがする
予想	反応はなんとなく予想してました|予想以上だよ！|23時ごろだと予想してた|出せます！けど予想外のしゅっぴ！|予想どおり混み混みー|予想通り-0.1%でした
丁重	うん、丁重にお断りしますね
お断り	うん、丁重にお断りしますね
大事	うん、大事なことだね|うん、お大事に|大事なのは目的だよね。あと置く場所ね。
生姜	うん。生姜は熱さないと効果無いから紅茶や豚肉の生姜焼きとか、お鍋にネギと一緒に入れると良いみたい|わかりましたー！今夜は豚の生姜焼きととき卵・しいたけの味噌汁、ワカメ・ツナのさっぱり和えです
効果	うん。生姜は熱さないと効果無いから紅茶や豚肉の生姜焼きとか、お鍋にネギと一緒に入れると良いみたい
紅茶	うん。生姜は熱さないと効果無いから紅茶や豚肉の生姜焼きとか、お鍋にネギと一緒に入れると良いみたい
豚肉	うん。生姜は熱さないと効果無いから紅茶や豚肉の生姜焼きとか、お鍋にネギと一緒に入れると良いみたい|お肉買い忘れた！諒さん、帰りに豚肉買える？
お鍋	うん。生姜は熱さないと効果無いから紅茶や豚肉の生姜焼きとか、お鍋にネギと一緒に入れると良いみたい|お鍋つくってた！|お鍋でした
ネギ	うん。生姜は熱さないと効果無いから紅茶や豚肉の生姜焼きとか、お鍋にネギと一緒に入れると良いみたい
保健	保健福祉センターにこんな情報がありました↑
福祉	保健福祉センターにこんな情報がありました↑
センター	保健福祉センターにこんな情報がありました↑|スポーツセンター広いっ
情報	保健福祉センターにこんな情報がありました↑|補足情報で伝えようかw|まだ情報が公式から出ただけで、|機器トラブルでポンプからの情報読み取れず
準備	寝る準備して寝るね|明日の準備いれたり、そわそわしてます|準備できたら話そう！|ダンス見てみたかったでも、おかげで余裕で準備できました！|お風呂あがったー。明日の準備をします！|明日の準備|晩ごはんこれから準備するね💦|部屋の準備できるまで待ってるとこ。うん、後半頑張る|帰り道にパーカー買って帰ってから準備進める予定です。
京都	京都では写真撮りまくるからね〜♪って言ってくれてるよ|京都のお話盛り上がってたんだね|諒さんっ京都のお宿の名前と場所を田邊さんに聞かれたので教えてくださいっ|京都も名古屋も楽しみ楽しみ♪|京都駅に歩いてむかってるよー|面白そうだねぇww京都では見れなかったから|京都の落ち着いてるイメージが崩れてきますw|京都へ向かってます。用事済んだらすぐにかえるね|京都のじいちゃんが亡くなりました。|今夜に京都へ行かなきゃかも。|明日の夕方に京都へ着けば良いので今夜は新小岩にいます！
♪	京都では写真撮りまくるからね〜♪って言ってくれてるよ|15万の買っちゃった〜♪って|いってらっしゃい♪|カーディガンと靴と靴下買った♪|7時に浦野家出発です！ノ渋滞を見越してね♪|京都も名古屋も楽しみ楽しみ♪|肉じゃが美味しかった♪|だーれが勝手に決めた♪レディメイドな今日をくぐり抜けて〜♪|じゃなくて、助川さんによろしくねー♪|コンビニ寄って買っちゃった♪|お風呂いってらっしゃい♪|おつかれさまっ♪|諒さん可愛かったー♪|今日早い♪|ちょうどいま申し込みしてます♪|いまバス乗った〜♪|わたしーまーつーわ〜♪|千葉のラーメン屋さんに行く予定が立ちました♪|そろそろつぎの段階ですね♪って言ってもらえました|楽しんできます♪
折り返し	明日でテスト折り返しだぁぁ|今日で１週間折り返しやよー！
ぁぁ	明日でテスト折り返しだぁぁ|やったぁぁ
カボチャ	カボチャのシチュー食べて机に向かってるけど手が全然進まない|ハリポタブースでカボチャジュース
シチュー	カボチャのシチュー食べて机に向かってるけど手が全然進まない|お母さんとのクリスマス、シチューは私が作らせてもらおうと思います。|シチュー作らにゃ|シチュー？
机	カボチャのシチュー食べて机に向かってるけど手が全然進まない|机をアルコールで拭くと臭う
手	カボチャのシチュー食べて机に向かってるけど手が全然進まない
大学生	大学生だった諒さん
とこ	賢いとこだったからね|いいとこ探します|あら！今からツタヤへ返しに行くとこなの|改札出たとこにいます|終わりそうなとこ|今職場でたとこー|眼鏡屋のとこにいるー|違うとこ行きたいけど、|いま敷地でたとこー。バス探してかえりますー|いま終わって帰るとこよー|レジ側の出入り口でたとこにいます！|商店街のなかの華禅ってとこで呑んでる|あの、パチンコ屋のとこ右に曲がった|美味しくなかったらお金返します！って看板のとこ|前に入ろうか迷ってやめたとこだった気がする|やっと外に出たとこよー|バンちゃんとこで食べる|部屋の準備できるまで待ってるとこ。うん、後半頑張る|了解です！とりあえず改札出たとこにいます|いま寺に着いたとこー
一貫	一貫の私立だっけ
私立	一貫の私立だっけ
関東	関東組の希望メインだね|あー、関東のさるね
希望	関東組の希望メインだね|スケさんも希望あるかな？|11月シフトひとつも入って無くて、勝手に書き込んできたので、後日希望通りか確認しなくちゃ|転職サイトだったwけど、案内してもらえそう。新小岩〜船橋駅の間で希望しました|第2希望ですね。レストランのあるシーホースにて本予約しました
メイン	関東組の希望メインだね|鍋のメインまち
スケ	スケさんも希望あるかな？|機器の業者、糖尿指導士、担当医のスケ合わせ
清水寺	私は行けたら清水寺かなぁ。
あそこ	あそこのお守りご利益あるんよね|あそこね！いいなー！
お守り	あそこのお守りご利益あるんよね|チビちゃんたちのお守りを友輔さんとしてるー
ご利益	あそこのお守りご利益あるんよね
そこ	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑|そこから船橋だから19:00くらいかな？|そこはご安心を！|そこ！まって
恋	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑
くじ	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑|いまね、あみだくじで服装チェンジ描こうってなってる
高望み	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑
アラン	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑
ファン	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑
レター	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑
衝撃	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑
思い出	そこの恋みくじで「高望みするべからず」って出て、当時アランさんにファンレター出したところだったから衝撃的な思い出なんさ笑|ううん！思い出をありがとう
天	天はお見通しか…！って
見通し	天はお見通しか…！って
教科	明日は2教科！双璧です|1教科はできたよー|仮眠してあと1教科がんばる
双璧	明日は2教科！双璧です
眼科	明日は眼科と生殖器だぁヽノ|眼科きら帰ってきました！|眼科→採血検査→糖尿病看護相談待ちなう|一階の眼科と二階の糖尿病3往復してる…|眼科の受診してから|今は、看護相談受けたらまた、眼科戻って混み具合を確認して|看護相談は保留でまた眼科きましたw
生殖	明日は眼科と生殖器だぁヽノ
ぁ	明日は眼科と生殖器だぁヽノ|やったぁ！|やったぁ|あらぁ|その場にいるの辛いよねぁ|あらぁ、|ようやく目的のバス停ついたぁ|ヘルパーさん仕事してる人もいるけど、こうしてほしいって指示出してるのに「あらぁ〜」って他人事で見てるのかなしい😢|いたかったぁ、頑張った
ょ	りょーさん、トーク編集できるよ↑|りょーさん|りょーさんつ|おかえりりょーさん|おかえりりょーさん♥︎|りょーさん、PCのパスワードわからないよ|りょーさんすきー！|りょーさんおかえりー？|おやすみ、りょーさん|りょーさん！日曜日休みです！！|りょーさん、|りょ、りょーさん|りょーさん！帰りにコンソメの素買ってきて|うん！おはよ、りょーさん|りょーかい！|りょーかいですー！|りょーさんいないやー|りょ！|りょ。
トーク	りょーさん、トーク編集できるよ↑
編集	りょーさん、トーク編集できるよ↑
狙い	嬉しいね！狙い通り
要素	要素はあったんだね
寝坊	寝坊と大雨で送ってもらってる|もう、寝坊しないようにねっ
大雨	寝坊と大雨で送ってもらってる
好き	好きだよおおおお|後半のOPも好き|好きにしてください|好きとかないな|諒さん好きっ|好きだ！お世話して！って初対面で言われました。|好きだから嬉しい、|私も好きっ！|あの、シリーズで1番好きな7の中で1番好きなキャラです|わたしも好きっ|健康診断もお疲れ様でしたね！朝ごはん抜きのぶん、好きなもの作るから！
無事	無事ですか！？|無事到着しました！ドーナツ甘くておいしかったよ|こっちも無事出発したよ松阪から急行がでてれば20分で着く距離だからもどかしい。|無事に帰れました！|無事のれました！|無事に帰って、お風呂入りましたー！|あずさ氏と無事合流できた新小岩
いっこ	いまおいっこ
おと	おとうとくんよー|作成はおとーさん。私は盛り付けだけねw
大好き	目の前で大好きなバイキンマンケーキが切られて行く|諒さん大好きです|大好きよ、諒さん|大好きやよおおお|うん、私も大好き|諒さん、大好きよ？|大好き！|諒さん、大好きやよ|諒さん、大好きだよ
バイキンマンケーキ	目の前で大好きなバイキンマンケーキが切られて行く
様	様を見つめる三歳児
わら	わら
表情	とっても表情豊かで飽きませんw
豊か	とっても表情豊かで飽きませんw
長男	長男くんはこっち|父「一度も見たことない。」私「長男が読んでたのが次男、私へ回って読んでるの。」父「ぱちおは？」私「ぱちおも読んでるよ。」
大人	大人っぽいね。|大人っぽくて素敵です♥︎♥︎|大人や消防団、現役部活っ子がいるからガクガクブルブルです
目線	自分より高い目線位置だからなんだか新鮮です
位置	自分より高い目線位置だからなんだか新鮮です
新鮮	自分より高い目線位置だからなんだか新鮮です|水田わさびドラちゃんの映画観るの初めてだったから新鮮だったよ
一眼	一眼です|雨だと外で一眼レフ使えないんだって
モデル	もう一人のテストモデルさん|いいモデルがいるので…|ゆうや氏から完成モデル
絵かき	お絵かきしてました|お絵かき|久しぶりにお絵かき|うん、お部屋にいくねー。お絵かきしてました|お絵かきちょうどおわった！|お絵かきだけしてた。
お話	京都のお話盛り上がってたんだね|お話できますか？|はやく、ゆったり諒さんとお話したいよ|お話だけでしょ？|両親にお話しました|しおん氏のお話をしたら田邊ちゃん「かわいいー！」とのことでせ。|奨学金のお話があるから、明日でも話せるかな|今夜食べに行きましょう。お話があります。
http	http://bvw.jp/kusatsu/Bb/sv.html|http://www.jalan.net/us/usp3000/usw3001.do?yadNo=307774|http://jp.indeed.com/m/viewjob?jk=a663b4b613373490&from=serp|http://s.tabelog.com/aichi/A2301/A230105/23049455/|http://uranai007.com/doubutu/iphone/hituzi.php|http://www.amazon.co.jp/s/?ie=UTF8&keywords=ｌｅｄ照明器具+天井+和風&tag=googhydr-22&index=electronics&jp-ad-ap=0&hvadid=45864020916&hvpos=1t1&hvexid=&hvnetw=g&hvrand=3984727632002071801&hvpone=&hvptwo=&hvqmt=b&hvdev=m&ref=pd_sl_4t25bh3fsn_b|http://www.ikeda-shomei.co.jp/info/onepoint.html|http://ichishina.com/cafe_new/menu.html|http://www.tokyodisneyresort.jp/sp/attraction/lists/park:tds/|http://s.tabelog.com/mie/A2403/A240301/24000011/table/|http://www.mwed.jp/hall/15920/|http://rhapsody.jagmo.jp/|http://musictable.jp/detail/finalfantasy_wedding.html?color=color5|http://www.ytk.co.jp/cruise/princesscruises/tour/schedule/3509|http://www.princesscruises.jp/sp/travel-agent-list/|http://wedding07.com/arashi-song-1828|http://www.jalan.net/us/usp1400/usw1402.do?ssc=95830&distCd=05&searchModeTab=1|http://kyushu-fukkou.jp|http://kirbycafe.jp/|http://mudauchi.info/323#i02|http://www.tarzania.jp/access.html|http://www.ai-w.com/smart/|http://a-shibuya.jp/sex/vaginal-portion-of-cervix/
://	http://bvw.jp/kusatsu/Bb/sv.html|http://www.jalan.net/us/usp3000/usw3001.do?yadNo=307774|http://jp.indeed.com/m/viewjob?jk=a663b4b613373490&from=serp|http://s.tabelog.com/aichi/A2301/A230105/23049455/|http://uranai007.com/doubutu/iphone/hituzi.php|http://www.amazon.co.jp/s/?ie=UTF8&keywords=ｌｅｄ照明器具+天井+和風&tag=googhydr-22&index=electronics&jp-ad-ap=0&hvadid=45864020916&hvpos=1t1&hvexid=&hvnetw=g&hvrand=3984727632002071801&hvpone=&hvptwo=&hvqmt=b&hvdev=m&ref=pd_sl_4t25bh3fsn_b|http://www.ikeda-shomei.co.jp/info/onepoint.html|http://ichishina.com/cafe_new/menu.html|http://www.tokyodisneyresort.jp/sp/attraction/lists/park:tds/|http://s.tabelog.com/mie/A2403/A240301/24000011/table/|http://www.mwed.jp/hall/15920/|http://rhapsody.jagmo.jp/|http://musictable.jp/detail/finalfantasy_wedding.html?color=color5|http://www.ytk.co.jp/cruise/princesscruises/tour/schedule/3509|http://www.princesscruises.jp/sp/travel-agent-list/|http://wedding07.com/arashi-song-1828|http://www.jalan.net/us/usp1400/usw1402.do?ssc=95830&distCd=05&searchModeTab=1|http://kyushu-fukkou.jp|http://kirbycafe.jp/|http://mudauchi.info/323#i02|https://michiaki.publications.jp/products/list.php?transactionid=1b3fcdb959c093ca44bea5469941189cd44b974c&mode=&category_id=15&maker_id=0&name=&orderby=&disp_number=15&pageno=5&rnd=bia&book_id=|http://www.tarzania.jp/access.html|http://www.ai-w.com/smart/|http://a-shibuya.jp/sex/vaginal-portion-of-cervix/
bvw	http://bvw.jp/kusatsu/Bb/sv.html
